start_date,end_date,company,platform,campaign,amount
2022-03-01,2022-03-31,Evian,Google Ads,Google Ads | Retargeting | Statewide,1389
2022-03-01,2022-03-31,Pizza Hut,Google Ads,Google Ads | Retargeting | National,648
2022-03-01,2022-03-31,Pizza Hut,Google Ads,Google Ads | Retargeting | Local,1035
2022-03-01,2022-03-31,Pizza Hut,Facebook Ads,Facebook Ads | Traffic | Statewide,109
2022-03-01,2022-03-31,Pizza Hut,Facebook Ads,Facebook Ads | Traffic | National,547
2022-03-01,2022-03-31,Pizza Hut,Facebook Ads,Facebook Ads | Retargeting | Local,3
2022-03-01,2022-03-31,Pizza Hut,Facebook Ads,Facebook Ads | Retargeting | Statewide,9
2022-03-01,2022-03-31,Head & Shoulders,Facebook Ads,Facebook Ads | Retargeting | Statewide,492
2022-03-01,2022-03-31,Head & Shoulders,Facebook Ads,Facebook Ads | Retargeting | Local,807
2022-03-01,2022-03-31,Head & Shoulders,Google Ads,Google Ads | Retargeting | National,46
2022-03-01,2022-03-31,Head & Shoulders,Google Ads,Google Ads | Retargeting | Local,273
2022-03-01,2022-03-31,Head & Shoulders,Facebook Ads,Facebook Ads | Traffic | Local,46
2022-03-01,2022-03-31,Head & Shoulders,Facebook Ads,Facebook Ads | Traffic | National,102
2022-03-01,2022-03-31,Head & Shoulders,Google Ads,Google Ads | Search | National,751
2022-03-01,2022-03-31,Head & Shoulders,Google Ads,Google Ads | Search | Statewide,7
2022-03-01,2022-03-31,Domino's Pizza,Facebook Ads,Facebook Ads | Retargeting | National,645
2022-03-01,2022-03-31,Domino's Pizza,Facebook Ads,Facebook Ads | Retargeting | Local,1138
2022-03-01,2022-03-31,Domino's Pizza,Facebook Ads,Facebook Ads | Traffic | National,588
2022-03-01,2022-03-31,Domino's Pizza,Facebook Ads,Facebook Ads | Traffic | Local,1154
2022-03-01,2022-03-31,Ben & Jerry's,Google Ads,Google Ads | Retargeting | Statewide,428
2022-03-01,2022-03-31,Ben & Jerry's,Google Ads,Google Ads | Retargeting | National,393
2022-03-01,2022-03-31,Ben & Jerry's,Google Ads,Google Ads | Search | National,131
2022-03-01,2022-03-31,Ben & Jerry's,Google Ads,Google Ads | Search | Statewide,1337
2022-03-01,2022-03-31,Heineken,Google Ads,Google Ads | Retargeting | Statewide,1200
2022-03-01,2022-03-31,Heineken,Google Ads,Google Ads | Retargeting | Local,792
2022-03-01,2022-03-31,Heineken,Facebook Ads,Facebook Ads | Traffic | National,1705
2022-03-01,2022-03-31,Heineken,Facebook Ads,Facebook Ads | Traffic | Statewide,220
2022-03-01,2022-03-31,Milo,Facebook Ads,Facebook Ads | Retargeting | Statewide,660
2022-03-01,2022-03-31,Milo,Facebook Ads,Facebook Ads | Retargeting | Local,255
2022-03-01,2022-03-31,Milo,Google Ads,Google Ads | Search | Local,56
2022-03-01,2022-03-31,Milo,Google Ads,Google Ads | Search | Statewide,947
2022-03-01,2022-03-31,Milo,Facebook Ads,Facebook Ads | Traffic | National,52
2022-03-01,2022-03-31,Milo,Facebook Ads,Facebook Ads | Traffic | Local,71
2022-03-01,2022-03-31,Starbucks,Google Ads,Google Ads | Search | National,336
2022-03-01,2022-03-31,Starbucks,Google Ads,Google Ads | Search | Statewide,984
2022-03-01,2022-03-31,Starbucks,Facebook Ads,Facebook Ads | Retargeting | National,634
2022-03-01,2022-03-31,Starbucks,Facebook Ads,Facebook Ads | Retargeting | Local,1070
2022-03-01,2022-03-31,Audi,Facebook Ads,Facebook Ads | Retargeting | Statewide,270
2022-03-01,2022-03-31,Audi,Facebook Ads,Facebook Ads | Retargeting | Local,263
2022-03-01,2022-03-31,Audi,Google Ads,Google Ads | Retargeting | National,506
2022-03-01,2022-03-31,Audi,Google Ads,Google Ads | Retargeting | Local,590
2022-03-01,2022-03-31,Audi,Facebook Ads,Facebook Ads | Traffic | Local,1130
2022-03-01,2022-03-31,Audi,Facebook Ads,Facebook Ads | Traffic | Statewide,654
2022-03-01,2022-03-31,Snickers,Google Ads,Google Ads | Retargeting | Local,126
2022-03-01,2022-03-31,Snickers,Google Ads,Google Ads | Retargeting | National,7
2022-03-01,2022-03-31,Snickers,Facebook Ads,Facebook Ads | Traffic | National,58
2022-03-01,2022-03-31,Snickers,Facebook Ads,Facebook Ads | Traffic | Local,61
2022-03-01,2022-03-31,Snickers,Google Ads,Google Ads | Search | National,176
2022-03-01,2022-03-31,Snickers,Google Ads,Google Ads | Search | Statewide,134
2022-03-01,2022-03-31,Nescafe,Google Ads,Google Ads | Retargeting | National,981
2022-03-01,2022-03-31,Nescafe,Google Ads,Google Ads | Retargeting | Statewide,530
2022-03-01,2022-03-31,Nescafe,Google Ads,Google Ads | Search | Statewide,244
2022-03-01,2022-03-31,Nescafe,Google Ads,Google Ads | Search | National,392
2022-03-01,2022-03-31,Nescafe,Facebook Ads,Facebook Ads | Retargeting | Statewide,473
2022-03-01,2022-03-31,Nescafe,Facebook Ads,Facebook Ads | Retargeting | National,794
2022-03-01,2022-03-31,KFC(Kentucky Fried Chicken),Google Ads,Google Ads | Search | National,453
2022-03-01,2022-03-31,KFC(Kentucky Fried Chicken),Google Ads,Google Ads | Search | Local,700
2022-03-01,2022-03-31,KFC(Kentucky Fried Chicken),Facebook Ads,Facebook Ads | Retargeting | National,1802
2022-03-01,2022-03-31,KFC(Kentucky Fried Chicken),Facebook Ads,Facebook Ads | Retargeting | Local,73
2022-03-01,2022-03-31,KFC(Kentucky Fried Chicken),Google Ads,Google Ads | Retargeting | Local,122
2022-03-01,2022-03-31,KFC(Kentucky Fried Chicken),Google Ads,Google Ads | Retargeting | National,47
2022-03-01,2022-03-31,Levi's Jeans,Facebook Ads,Facebook Ads | Retargeting | Statewide,135
2022-03-01,2022-03-31,Levi's Jeans,Facebook Ads,Facebook Ads | Retargeting | Local,60
2022-03-01,2022-03-31,Levi's Jeans,Facebook Ads,Facebook Ads | Traffic | Statewide,229
2022-03-01,2022-03-31,Levi's Jeans,Facebook Ads,Facebook Ads | Traffic | National,563
2022-03-01,2022-03-31,Levi's Jeans,Google Ads,Google Ads | Retargeting | Local,411
2022-03-01,2022-03-31,Levi's Jeans,Google Ads,Google Ads | Retargeting | National,789
2022-03-01,2022-03-31,Pampers,Facebook Ads,Facebook Ads | Traffic | National,139
2022-03-01,2022-03-31,Pampers,Facebook Ads,Facebook Ads | Traffic | Statewide,1859
2022-03-01,2022-03-31,Pampers,Google Ads,Google Ads | Retargeting | Statewide,507
2022-03-01,2022-03-31,Pampers,Google Ads,Google Ads | Retargeting | Local,706
2022-03-01,2022-03-31,Pampers,Facebook Ads,Facebook Ads | Retargeting | Statewide,479
2022-03-01,2022-03-31,Pampers,Facebook Ads,Facebook Ads | Retargeting | Local,1252
2022-03-01,2022-03-31,Pampers,Google Ads,Google Ads | Search | National,611
2022-03-01,2022-03-31,Pampers,Google Ads,Google Ads | Search | Local,1083
2022-03-01,2022-03-31,Coca-Cola,Facebook Ads,Facebook Ads | Retargeting | National,335
2022-03-01,2022-03-31,Coca-Cola,Facebook Ads,Facebook Ads | Retargeting | Statewide,1413
2022-03-01,2022-03-31,Tango (drink),Google Ads,Google Ads | Retargeting | Statewide,1227
2022-03-01,2022-03-31,Tango (drink),Google Ads,Google Ads | Retargeting | Local,691
2022-03-01,2022-03-31,Tango (drink),Facebook Ads,Facebook Ads | Retargeting | Statewide,244
2022-03-01,2022-03-31,Tango (drink),Facebook Ads,Facebook Ads | Retargeting | National,97
2022-03-01,2022-03-31,Tango (drink),Facebook Ads,Facebook Ads | Traffic | Statewide,435
2022-03-01,2022-03-31,Tango (drink),Facebook Ads,Facebook Ads | Traffic | National,889
2022-03-01,2022-03-31,Tizer,Google Ads,Google Ads | Search | National,160
2022-03-01,2022-03-31,Tizer,Google Ads,Google Ads | Search | Statewide,1066
2022-03-01,2022-03-31,Dr. Enuf,Facebook Ads,Facebook Ads | Traffic | Local,923
2022-03-01,2022-03-31,Dr. Enuf,Facebook Ads,Facebook Ads | Traffic | National,480
2022-03-01,2022-03-31,ToniCol,Google Ads,Google Ads | Search | National,167
2022-03-01,2022-03-31,ToniCol,Google Ads,Google Ads | Search | Statewide,51
2022-03-01,2022-03-31,Campa Cola,Google Ads,Google Ads | Retargeting | Statewide,167
2022-03-01,2022-03-31,Campa Cola,Google Ads,Google Ads | Retargeting | Local,473
2022-03-01,2022-03-31,Campa Cola,Google Ads,Google Ads | Search | Statewide,492
2022-03-01,2022-03-31,Campa Cola,Google Ads,Google Ads | Search | Local,1387
2022-03-01,2022-03-31,Campa Cola,Facebook Ads,Facebook Ads | Retargeting | National,1823
2022-03-01,2022-03-31,Campa Cola,Facebook Ads,Facebook Ads | Retargeting | Statewide,121
2022-03-01,2022-03-31,Mezzo Mix,Facebook Ads,Facebook Ads | Retargeting | National,718
2022-03-01,2022-03-31,Mezzo Mix,Facebook Ads,Facebook Ads | Retargeting | Statewide,1191
2022-04-01,2022-04-30,Costa Coffee,Facebook Ads,Facebook Ads | Traffic | Local,191
2022-04-01,2022-04-30,Costa Coffee,Facebook Ads,Facebook Ads | Traffic | National,16
2022-04-01,2022-04-30,Costa Coffee,Google Ads,Google Ads | Retargeting | Statewide,455
2022-04-01,2022-04-30,Costa Coffee,Google Ads,Google Ads | Retargeting | National,123
2022-04-01,2022-04-30,Dasani,Google Ads,Google Ads | Search | Statewide,1217
2022-04-01,2022-04-30,Dasani,Google Ads,Google Ads | Search | National,120
2022-04-01,2022-04-30,Dasani,Google Ads,Google Ads | Retargeting | Local,296
2022-04-01,2022-04-30,Dasani,Google Ads,Google Ads | Retargeting | Statewide,197
2022-04-01,2022-04-30,Dasani,Facebook Ads,Facebook Ads | Retargeting | Local,89
2022-04-01,2022-04-30,Dasani,Facebook Ads,Facebook Ads | Retargeting | National,102
2022-04-01,2022-04-30,Dasani,Facebook Ads,Facebook Ads | Traffic | Statewide,312
2022-04-01,2022-04-30,Dasani,Facebook Ads,Facebook Ads | Traffic | Local,1378
2022-04-01,2022-04-30,Heineken,Google Ads,Google Ads | Search | Local,372
2022-04-01,2022-04-30,Heineken,Google Ads,Google Ads | Search | National,852
2022-04-01,2022-04-30,Heineken,Facebook Ads,Facebook Ads | Traffic | Statewide,240
2022-04-01,2022-04-30,Heineken,Facebook Ads,Facebook Ads | Traffic | Local,324
2022-04-01,2022-04-30,Heineken,Google Ads,Google Ads | Retargeting | National,101
2022-04-01,2022-04-30,Heineken,Google Ads,Google Ads | Retargeting | Local,854
2022-04-01,2022-04-30,Gatorade,Google Ads,Google Ads | Retargeting | Local,109
2022-04-01,2022-04-30,Gatorade,Google Ads,Google Ads | Retargeting | Statewide,134
2022-04-01,2022-04-30,Gatorade,Facebook Ads,Facebook Ads | Traffic | Statewide,135
2022-04-01,2022-04-30,Gatorade,Facebook Ads,Facebook Ads | Traffic | Local,470
2022-04-01,2022-04-30,Gatorade,Facebook Ads,Facebook Ads | Retargeting | Statewide,830
2022-04-01,2022-04-30,Gatorade,Facebook Ads,Facebook Ads | Retargeting | Local,494
2022-04-01,2022-04-30,Tetley's Brewery,Google Ads,Google Ads | Retargeting | National,12
2022-04-01,2022-04-30,Tetley's Brewery,Google Ads,Google Ads | Retargeting | Statewide,69
2022-04-01,2022-04-30,Tetley's Brewery,Facebook Ads,Facebook Ads | Traffic | National,520
2022-04-01,2022-04-30,Tetley's Brewery,Facebook Ads,Facebook Ads | Traffic | Local,784
2022-04-01,2022-04-30,Batemans Brewery,Google Ads,Google Ads | Search | Local,879
2022-04-01,2022-04-30,Batemans Brewery,Google Ads,Google Ads | Search | National,753
2022-04-01,2022-04-30,Batemans Brewery,Facebook Ads,Facebook Ads | Retargeting | Local,129
2022-04-01,2022-04-30,Batemans Brewery,Facebook Ads,Facebook Ads | Retargeting | National,162
2022-04-01,2022-04-30,Batemans Brewery,Facebook Ads,Facebook Ads | Traffic | Statewide,246
2022-04-01,2022-04-30,Batemans Brewery,Facebook Ads,Facebook Ads | Traffic | Local,921
2022-04-01,2022-04-30,Batemans Brewery,Google Ads,Google Ads | Retargeting | National,776
2022-04-01,2022-04-30,Batemans Brewery,Google Ads,Google Ads | Retargeting | Statewide,191
2022-04-01,2022-04-30,Grapette,Facebook Ads,Facebook Ads | Retargeting | National,1139
2022-04-01,2022-04-30,Grapette,Facebook Ads,Facebook Ads | Retargeting | Local,288
2022-04-01,2022-04-30,Grapette,Facebook Ads,Facebook Ads | Traffic | Local,48
2022-04-01,2022-04-30,Grapette,Facebook Ads,Facebook Ads | Traffic | National,256
2022-04-01,2022-04-30,Grapette,Google Ads,Google Ads | Retargeting | Statewide,14
2022-04-01,2022-04-30,Grapette,Google Ads,Google Ads | Retargeting | National,106
2022-04-01,2022-04-30,Grapette,Google Ads,Google Ads | Search | Local,135
2022-04-01,2022-04-30,Grapette,Google Ads,Google Ads | Search | Statewide,472
2022-04-01,2022-04-30,Jif (lemon juice),Google Ads,Google Ads | Retargeting | Local,206
2022-04-01,2022-04-30,Jif (lemon juice),Google Ads,Google Ads | Retargeting | National,1204
2022-04-01,2022-04-30,Royal Tru,Google Ads,Google Ads | Retargeting | Local,218
2022-04-01,2022-04-30,Royal Tru,Google Ads,Google Ads | Retargeting | National,572
2022-04-01,2022-04-30,Royal Tru,Facebook Ads,Facebook Ads | Traffic | National,1330
2022-04-01,2022-04-30,Royal Tru,Facebook Ads,Facebook Ads | Traffic | Local,198
2022-04-01,2022-04-30,Royal Tru,Google Ads,Google Ads | Search | Local,62
2022-04-01,2022-04-30,Royal Tru,Google Ads,Google Ads | Search | Statewide,1
2022-04-01,2022-04-30,Oronamin,Google Ads,Google Ads | Search | Local,842
2022-04-01,2022-04-30,Oronamin,Google Ads,Google Ads | Search | National,164
2022-04-01,2022-04-30,Belvedere Vodka,Google Ads,Google Ads | Retargeting | Local,991
2022-04-01,2022-04-30,Belvedere Vodka,Google Ads,Google Ads | Retargeting | National,704
2022-04-01,2022-04-30,Belvedere Vodka,Facebook Ads,Facebook Ads | Traffic | Statewide,711
2022-04-01,2022-04-30,Belvedere Vodka,Facebook Ads,Facebook Ads | Traffic | National,249
2022-04-01,2022-04-30,Belvedere Vodka,Facebook Ads,Facebook Ads | Retargeting | Local,528
2022-04-01,2022-04-30,Belvedere Vodka,Facebook Ads,Facebook Ads | Retargeting | National,1349
2022-04-01,2022-04-30,Wodka Gorbatschow,Facebook Ads,Facebook Ads | Traffic | National,188
2022-04-01,2022-04-30,Wodka Gorbatschow,Facebook Ads,Facebook Ads | Traffic | Local,159
2022-04-01,2022-04-30,White Horse (whisky),Facebook Ads,Facebook Ads | Traffic | Statewide,1001
2022-04-01,2022-04-30,White Horse (whisky),Facebook Ads,Facebook Ads | Traffic | National,88
2022-04-01,2022-04-30,White Horse (whisky),Google Ads,Google Ads | Search | National,592
2022-04-01,2022-04-30,White Horse (whisky),Google Ads,Google Ads | Search | Local,1255
2022-04-01,2022-04-30,Grand Old Parr,Facebook Ads,Facebook Ads | Traffic | National,1141
2022-04-01,2022-04-30,Grand Old Parr,Facebook Ads,Facebook Ads | Traffic | Local,426
2022-04-01,2022-04-30,Grand Old Parr,Google Ads,Google Ads | Search | Local,629
2022-04-01,2022-04-30,Grand Old Parr,Google Ads,Google Ads | Search | Statewide,533
2022-04-01,2022-04-30,Grand Old Parr,Facebook Ads,Facebook Ads | Retargeting | National,1487
2022-04-01,2022-04-30,Grand Old Parr,Facebook Ads,Facebook Ads | Retargeting | Local,298
2022-04-01,2022-04-30,Finlandia (vodka),Facebook Ads,Facebook Ads | Traffic | Statewide,838
2022-04-01,2022-04-30,Finlandia (vodka),Facebook Ads,Facebook Ads | Traffic | National,238
2022-04-01,2022-04-30,Finlandia (vodka),Google Ads,Google Ads | Search | Local,104
2022-04-01,2022-04-30,Finlandia (vodka),Google Ads,Google Ads | Search | National,2
2022-04-01,2022-04-30,Finlandia (vodka),Google Ads,Google Ads | Retargeting | Local,904
2022-04-01,2022-04-30,Finlandia (vodka),Google Ads,Google Ads | Retargeting | National,896
2022-04-01,2022-04-30,Head & Shoulders,Facebook Ads,Facebook Ads | Traffic | National,1640
2022-04-01,2022-04-30,Head & Shoulders,Facebook Ads,Facebook Ads | Traffic | Statewide,324
2022-04-01,2022-04-30,Head & Shoulders,Google Ads,Google Ads | Retargeting | Statewide,470
2022-04-01,2022-04-30,Head & Shoulders,Google Ads,Google Ads | Retargeting | Local,506
2022-04-01,2022-04-30,Head & Shoulders,Facebook Ads,Facebook Ads | Retargeting | Statewide,455
2022-04-01,2022-04-30,Head & Shoulders,Facebook Ads,Facebook Ads | Retargeting | Local,208
2022-04-01,2022-04-30,Head & Shoulders,Google Ads,Google Ads | Search | Statewide,499
2022-04-01,2022-04-30,Head & Shoulders,Google Ads,Google Ads | Search | Local,326
2022-04-01,2022-04-30,Domino's Pizza,Google Ads,Google Ads | Search | Local,277
2022-04-01,2022-04-30,Domino's Pizza,Google Ads,Google Ads | Search | National,682
2022-04-01,2022-04-30,Domino's Pizza,Facebook Ads,Facebook Ads | Traffic | National,62
2022-04-01,2022-04-30,Domino's Pizza,Facebook Ads,Facebook Ads | Traffic | Statewide,45
2022-04-01,2022-04-30,Domino's Pizza,Facebook Ads,Facebook Ads | Retargeting | Statewide,580
2022-04-01,2022-04-30,Domino's Pizza,Facebook Ads,Facebook Ads | Retargeting | National,93
2022-04-01,2022-04-30,Domino's Pizza,Google Ads,Google Ads | Retargeting | National,1505
2022-04-01,2022-04-30,Domino's Pizza,Google Ads,Google Ads | Retargeting | Statewide,134
2022-04-01,2022-04-30,Ben & Jerry's,Google Ads,Google Ads | Search | Local,726
2022-04-01,2022-04-30,Ben & Jerry's,Google Ads,Google Ads | Search | National,201
2022-04-01,2022-04-30,Ben & Jerry's,Google Ads,Google Ads | Retargeting | Local,193
2022-04-01,2022-04-30,Ben & Jerry's,Google Ads,Google Ads | Retargeting | National,148
2022-04-01,2022-04-30,Ben & Jerry's,Facebook Ads,Facebook Ads | Traffic | Local,17
2022-04-01,2022-04-30,Ben & Jerry's,Facebook Ads,Facebook Ads | Traffic | National,6
2022-04-01,2022-04-30,Heineken,Facebook Ads,Facebook Ads | Retargeting | Local,41
2022-04-01,2022-04-30,Heineken,Facebook Ads,Facebook Ads | Retargeting | Statewide,18
2022-04-01,2022-04-30,Gatorade,Facebook Ads,Facebook Ads | Traffic | Local,1050
2022-04-01,2022-04-30,Gatorade,Facebook Ads,Facebook Ads | Traffic | National,513
2022-04-01,2022-04-30,Gatorade,Google Ads,Google Ads | Search | National,23
2022-04-01,2022-04-30,Gatorade,Google Ads,Google Ads | Search | Statewide,1014
2022-04-01,2022-04-30,Gatorade,Facebook Ads,Facebook Ads | Retargeting | Statewide,666
2022-04-01,2022-04-30,Gatorade,Facebook Ads,Facebook Ads | Retargeting | National,1314
2022-04-01,2022-04-30,Gatorade,Google Ads,Google Ads | Retargeting | Statewide,19
2022-04-01,2022-04-30,Gatorade,Google Ads,Google Ads | Retargeting | Local,1238
2022-04-01,2022-04-30,Milo,Facebook Ads,Facebook Ads | Retargeting | Statewide,1081
2022-04-01,2022-04-30,Milo,Facebook Ads,Facebook Ads | Retargeting | National,354
2022-04-01,2022-04-30,Starbucks,Google Ads,Google Ads | Search | National,695
2022-04-01,2022-04-30,Starbucks,Google Ads,Google Ads | Search | Local,639
2022-04-01,2022-04-30,Starbucks,Facebook Ads,Facebook Ads | Retargeting | National,66
2022-04-01,2022-04-30,Starbucks,Facebook Ads,Facebook Ads | Retargeting | Statewide,1298
2022-04-01,2022-04-30,Starbucks,Facebook Ads,Facebook Ads | Traffic | National,154
2022-04-01,2022-04-30,Starbucks,Facebook Ads,Facebook Ads | Traffic | Local,234
2022-04-01,2022-04-30,Audi,Facebook Ads,Facebook Ads | Retargeting | Statewide,855
2022-04-01,2022-04-30,Audi,Facebook Ads,Facebook Ads | Retargeting | Local,1134
2022-04-01,2022-04-30,Audi,Google Ads,Google Ads | Retargeting | Statewide,634
2022-04-01,2022-04-30,Audi,Google Ads,Google Ads | Retargeting | National,621
2022-04-01,2022-04-30,Audi,Google Ads,Google Ads | Search | National,48
2022-04-01,2022-04-30,Audi,Google Ads,Google Ads | Search | Local,705
2022-04-01,2022-04-30,Audi,Facebook Ads,Facebook Ads | Traffic | National,332
2022-04-01,2022-04-30,Audi,Facebook Ads,Facebook Ads | Traffic | Local,1104
2022-04-01,2022-04-30,NIVEA,Facebook Ads,Facebook Ads | Traffic | Statewide,1140
2022-04-01,2022-04-30,NIVEA,Facebook Ads,Facebook Ads | Traffic | Local,658
2022-04-01,2022-04-30,Snickers,Google Ads,Google Ads | Search | Local,134
2022-04-01,2022-04-30,Snickers,Google Ads,Google Ads | Search | National,240
2022-04-01,2022-04-30,Snickers,Facebook Ads,Facebook Ads | Traffic | Local,1080
2022-04-01,2022-04-30,Snickers,Facebook Ads,Facebook Ads | Traffic | Statewide,270
2022-04-01,2022-04-30,Snickers,Google Ads,Google Ads | Retargeting | National,1890
2022-04-01,2022-04-30,Snickers,Google Ads,Google Ads | Retargeting | Statewide,87
2022-04-01,2022-04-30,Snickers,Facebook Ads,Facebook Ads | Retargeting | Local,41
2022-04-01,2022-04-30,Snickers,Facebook Ads,Facebook Ads | Retargeting | National,292
2022-04-01,2022-04-30,Nescafe,Facebook Ads,Facebook Ads | Retargeting | National,689
2022-04-01,2022-04-30,Nescafe,Facebook Ads,Facebook Ads | Retargeting | Local,765
2022-04-01,2022-04-30,KFC(Kentucky Fried Chicken),Google Ads,Google Ads | Retargeting | National,0
